YPFCOGEC;YPF ENERGÍA ELÉCTRICA S.A.
YPFLOMQA;YPF ENERGÍA ELÉCTRICA S.A.
YPFLPEZA;YPF ENERGÍA ELÉCTRICA S.A.
YPFMBE2A;YPF ENERGÍA ELÉCTRICA S.A.
YPFPHUQA;YPF ENERGÍA ELÉCTRICA S.A.
360ENERG;360 ENERGY S.A.
ARROYSEC;ALBANESI ENERGÍA S.A.
CABOCA1A;Sin clasificar
CAPEX-QA;CAPEX S.A.
CCOSTANG;CENTRAL PUERTO S.A.
CELOMABG;GENNEIA S.A.
CFCAHO3G;Sin clasificar
CHSLOMAG;Sin clasificar
CMOREN1G;Sin clasificar
CTABENEG;Sin clasificar
CTBANDEG;Sin clasificar
CTBGBELG;Sin clasificar
CTBGSLUG;Sin clasificar
CTBIOANG;Sin clasificar
CTBQUERG;Sin clasificar
CTINDE2G;Sin clasificar
CTINDEPG;Sin clasificar
CTLINCSG;Sin clasificar
CTMEDANG;Sin clasificar
CTPALM2G;Sin clasificar
CTRUFING;Sin clasificar
CTSALTAG;Sin clasificar
CTSANALG;GRUPO INSUD
CTSANVIG;Sin clasificar
CTSM3DIG;Sin clasificar
CTSM3GCG;Sin clasificar
CTSMN3DG;Sin clasificar
CTSMNO3G;Sin clasificar
EDECATKG;Sin clasificar
EDELARFG;Sin clasificar
EDENBA1G;Sin clasificar
EDESAEGG;Sin clasificar
EDESALDG;Sin clasificar
EMISSANG;Sin clasificar
FLORIDAA;Sin clasificar
GELABANG;Sin clasificar
GENELTUG;Sin clasificar
GMEDIPLG;Sin clasificar
GMEDIT5G;Sin clasificar
GMEDITEG;Sin clasificar
LDC-GLSA;Sin clasificar
LUJCUYOC;CENTRAL PUERTO S.A.
PAHCTMEG;Sin clasificar
PAHGUA7G;Sin clasificar
PECAST2G;Sin clasificar
PELEVALG;PROVINCIAL
PELTER2G;Sin clasificar
PEMANQUG;Sin clasificar
PEOLIVOG;Sin clasificar
PEPOMO1G;GENNEIA S.A.
PERAWS1G;GENNEIA S.A.
PERAWS2G;Sin clasificar
PETRELRA;Sin clasificar
PEVILLAG;GENNEIA S.A.
PEVIOLAG;COOPERATIVAS
PEVIVORG;Sin clasificar
PFAMANEG;Sin clasificar
PFCHEPEG;Sin clasificar
PFCUTRAG;Sin clasificar
PRODEBIA;Sin clasificar
PSALGARG;Sin clasificar
PSBADROG;Sin clasificar
PSCHAR2G;MSU Energy S.A.
PSCHAR3G;MSU Energy S.A.
PSCHARAG;MSU Energy S.A.
PSINJUAG;MSU Energy S.A.
PSLASALG;Sin clasificar
PSPDINFG;MSU Energy S.A.
PSRSECMG;Sin clasificar
PSRSECOG;Sin clasificar
PSSULLUG;Sin clasificar
PSVANG1G;MSU Energy S.A.
PSVANG2G;MSU Energy S.A.
PSVANG3G;MSU Energy S.A.
PSVANG4G;MSU Energy S.A.
PSVANG5G;MSU Energy S.A.
PSVICTOG;Sin clasificar
SEAENERG;Sin clasificar
SINOHUZA;Sin clasificar
SINOMEZA;Sin clasificar
YPFENERG;Sin clasificar
YPF-PHQA;Sin clasificar
YPFTREUA;Sin clasificar
